aX,aY,aZ,gX,gY,gZ
0.458,-0.159,0.186,-190.369,-677.795,-68.481
0.377,-0.188,0.27,-139.221,-643.982,-68.909
0.336,-0.259,0.385,-91.675,-605.835,-64.941
0.274,-0.288,0.499,-54.504,-573.364,-54.382
0.193,-0.319,0.621,-33.325,-551.88,-39.185
0.056,-0.396,0.791,-24.719,-545.898,-22.766
-0.12,-0.382,0.988,-27.588,-553.101,-9.521
-0.325,-0.284,1.176,-40.71,-572.021,-10.864
-0.505,-0.119,1.351,-55.115,-590.271,-33.508
-0.59,0.018,1.388,-62.866,-578.247,-70.374
-0.594,0.066,1.356,-71.106,-520.142,-100.708
-0.565,0.026,1.303,-75.745,-433.167,-110.718
-0.522,-0.026,1.197,-66.528,-343.689,-99.487
-0.485,-0.056,1.097,-44.434,-262.024,-74.463
-0.466,-0.082,1.031,-19.714,-183.899,-42.297
-0.455,-0.085,0.984,2.502,-110.779,-6.836
-0.462,-0.103,0.94,21.606,-47.913,27.649
-0.467,-0.138,0.915,37.048,-1.77,56.58
-0.483,-0.176,0.927,49.194,24.292,77.026
-0.55,-0.201,1,58.167,32.898,86.67
-0.62,-0.196,1.116,60.364,31.677,81.665
-0.631,-0.175,1.207,49.622,28.87,56.458
-0.585,-0.169,1.213,26.001,26.794,17.151
-0.518,-0.178,1.136,-1.648,20.935,-17.761
-0.431,-0.21,1.026,-25.33,8.606,-35.278
-0.369,-0.248,0.948,-39.368,-6.104,-40.161
-0.332,-0.255,0.895,-38.208,-18.494,-38.94
-0.315,-0.248,0.861,-26.367,-23.621,-34.79
-0.3,-0.239,0.863,-9.949,-19.47,-29.236
-0.285,-0.235,0.885,4.944,-8.24,-22.522
-0.275,-0.245,0.907,17.7,5.859,-14.832
-0.272,-0.255,0.925,28.931,19.653,-7.08
-0.275,-0.254,0.952,36.987,31.372,0.061
-0.299,-0.266,0.991,41.382,41.138,6.165
-0.3,-0.267,1.025,39.49,52.185,9.888
-0.284,-0.273,1.052,34.668,61.707,8.911
-0.271,-0.263,1.045,29.541,63.843,5.188
-0.257,-0.256,1.017,22.705,60.669,3.235
-0.253,-0.256,0.975,14.16,53.162,2.319
-0.253,-0.249,0.935,6.775,43.152,0.488
-0.253,-0.233,0.909,1.892,31.616,-1.892
-0.263,-0.236,0.879,-1.099,19.836,-4.456
-0.259,-0.229,0.867,-2.502,9.705,-6.958
-0.262,-0.232,0.86,-0.244,1.404,-10.498
-0.287,-0.226,0.858,3.296,-8.118,-13.611
-0.278,-0.202,0.865,2.563,-14.16,-9.46
-0.283,-0.208,0.89,1.16,-16.174,-3.113
-0.297,-0.219,0.939,1.282,-14.404,-1.038
-0.292,-0.204,0.969,1.77,-10.864,-1.892
-0.286,-0.201,0.973,-2.808,-6.287,-1.221
-0.279,-0.206,0.962,-10.01,-3.418,1.831
-0.284,-0.209,0.94,-15.259,-2.808,5.737
-0.291,-0.212,0.91,-16.479,-3.54,9.094
-0.297,-0.202,0.886,-13.977,-3.906,9.888
-0.304,-0.189,0.873,-9.644,-4.456,8.423
-0.316,-0.183,0.865,-4.944,-5.005,6.897
-0.325,-0.173,0.871,-0.793,-5.615,5.676
-0.332,-0.169,0.88,2.258,-6.592,4.333
-0.338,-0.173,0.897,4.272,-6.775,3.113
-0.345,-0.178,0.909,5.676,-6.104,1.77
-0.349,-0.181,0.921,6.592,-4.639,-0.305
-0.355,-0.185,0.931,6.897,-2.075,-2.808
-0.344,-0.19,0.925,6.592,1.831,-4.822
-0.333,-0.197,0.914,5.554,6.104,-6.592
-0.315,-0.219,0.906,4.822,7.812,-6.897
-0.304,-0.235,0.905,4.883,6.47,-5.249
-0.304,-0.24,0.91,5.005,2.563,-2.869
-0.313,-0.24,0.918,5.798,-0.366,-0.977
-0.325,-0.238,0.92,7.263,-0.977,-0.122
-1.157,-0.093,1.502,86.792,-151.245,61.096
-1.08,-0.09,1.523,42.358,-108.765,22.827
-1.005,-0.106,1.46,-13,-97.473,-20.63
