aX,aY,aZ,gX,gY,gZ
0.179,-0.516,0.605,29.968,15.564,184.509
0.165,-0.443,0.557,41.321,-7.751,185.181
0.25,-0.453,0.579,51.392,-32.043,185.669
0.379,-0.488,0.614,61.218,-56.824,193.604
0.438,-0.524,0.668,72.021,-83.008,213.562
0.434,-0.587,0.707,78.003,-105.286,246.643
0.388,-0.646,0.729,82.031,-123.352,287.72
0.306,-0.743,0.771,86.365,-139.526,326.05
0.15,-0.715,0.768,88.928,-158.325,357.3
-0.038,-0.676,0.674,94.116,-180.725,374.573
-0.229,-0.597,0.603,100.098,-203.308,382.629
-0.36,-0.532,0.598,102.173,-219.604,385.559
-0.443,-0.505,0.639,98.145,-218.018,377.258
-0.472,-0.519,0.732,91.492,-199.829,362.061
-0.459,-0.543,0.853,84.9,-173.95,343.018
-0.427,-0.602,0.976,81.97,-148.56,322.388
-0.408,-0.622,1.076,80.627,-127.747,299.988
-0.426,-0.552,1.179,72.754,-113.831,279.785
-0.499,-0.482,1.237,54.504,-104.675,259.949
-0.528,-0.43,1.244,32.043,-92.163,238.464
-0.547,-0.395,1.214,11.841,-73.303,210.999
-0.56,-0.374,1.164,-5.92,-52.002,179.321
-0.557,-0.364,1.093,-18.982,-35.645,148.193
-0.534,-0.357,1.025,-26.489,-26.489,119.263
-0.496,-0.353,0.98,-30.823,-22.156,92.529
-0.451,-0.375,0.937,-30.334,-19.897,67.993
-0.397,-0.393,0.913,-24.109,-19.531,46.204
-0.276,-0.407,0.909,-18.433,-20.081,28.564
-0.263,-0.415,0.921,-15.564,-25.391,7.446
-0.206,-0.389,0.944,-14.465,-33.386,0.488
-0.16,-0.383,0.957,-19.775,-38.269,2.014
-0.161,-0.385,0.942,-24.597,-36.926,3.479
-0.159,-0.382,0.926,-24.78,-28.381,4.517
-0.165,-0.37,0.905,-21.179,-16.296,4.883
-0.167,-0.373,0.889,-15.442,-5.798,5.432
-0.177,-0.37,0.86,-8.24,0.977,5.432
-0.189,-0.358,0.852,-0.61,6.714,2.686
-0.198,-0.354,0.855,7.385,10.376,-4.089
-0.188,-0.375,0.87,13,11.841,-12.939
-0.157,-0.414,0.891,14.954,10.62,-23.132
-0.115,-0.461,0.92,13.184,5.798,-31.555
-0.042,-0.479,0.946,6.958,-1.953,-33.936
-0.02,-0.498,0.958,-1.526,-10.254,-33.936
-0.015,-0.497,0.95,-7.996,-14.771,-32.227
-0.005,-0.489,0.937,-12.268,-13.123,-25.085
0.549,-1.245,0.752,80.322,-20.874,85.571
0.548,-1.172,0.763,82.947,-21.24,137.756
0.501,-1.097,0.735,81.543,-22.339,189.636
0.435,-1.019,0.689,82.886,-28.931,238.22
0.348,-0.923,0.638,85.205,-42.725,276.978
0.252,-0.821,0.604,85.571,-60.303,309.57
0.165,-0.758,0.577,86.365,-79.163,337.097
0.125,-0.743,0.584,89.844,-98.145,359.985
0.108,-0.762,0.608,93.506,-118.469,379.578
0.06,-0.799,0.64,90.393,-136.963,400.635
0.004,-0.86,0.675,82.825,-151.672,425.049
-0.065,-0.973,0.747,74.097,-163.147,441.467
-0.089,-0.991,0.792,68.787,-177.429,441.589
-0.125,-0.936,0.79,60.913,-204.102,432.739
-0.252,-0.86,0.744,40.527,-239.868,426.331
-0.444,-0.748,0.666,20.264,-275.696,425.049
-0.592,-0.639,0.634,4.456,-294.25,424.072
-0.649,-0.589,0.67,-5.554,-282.776,419.739
-0.67,-0.542,0.739,-5.981,-252.136,410.706
-0.728,-0.515,0.831,-5.127,-221.008,397.766
-0.763,-0.544,0.927,-3.418,-184.265,385.254
-0.758,-0.522,1.032,3.174,-149.78,370.3
-0.793,-0.495,1.088,10.681,-125.732,339.233
-0.809,-0.397,1.098,17.151,-106.201,288.33
-0.833,-0.349,1.137,19.287,-82.336,226.501
-0.831,-0.285,1.163,15.991,-59.021,168.823
-0.789,-0.261,1.174,10.071,-40.283,119.446
-0.749,-0.283,1.159,0,-26.794,76.355
-0.689,-0.315,1.115,-6.592,-16.907,39.917
-0.632,-0.33,1.073,-8.179,-8.911,9.521
-0.602,-0.327,1.062,-7.568,-4.028,-16.052
-0.628,-0.329,1.105,-6.409,-0.488,-38.391
-0.696,-0.336,1.216,-5.493,7.019,-62.317
-0.723,-0.318,1.3,-8.423,24.109,-94.543
-0.713,-0.34,1.309,-22.461,51.331,-134.521
-0.763,-0.371,1.32,-42.664,77.332,-176.941
