aX,aY,aZ,gX,gY,gZ
-0.153,-1.343,1.519,-29.419,-37.537,16.357
-0.179,-1.328,1.412,-62.866,1.404,30.457
-0.209,-1.263,1.272,-90.698,33.264,39.795
-0.275,-1.203,1.143,-113.647,53.223,49.561
-0.331,-1.138,1.02,-133.301,63.293,57.556
-0.366,-1.074,0.895,-147.4,67.688,60.791
-0.37,-1.027,0.791,-156.189,68.42,56.702
-0.312,-0.995,0.754,-163.33,64.697,49.744
-0.18,-0.957,0.817,-173.828,54.077,46.387
-0.096,-0.909,0.892,-192.993,36.316,50.598
-0.083,-0.884,0.943,-218.567,22.949,59.326
-0.072,-0.854,0.957,-241.577,24.17,66.101
-0.063,-0.813,0.938,-259.094,40.283,70.19
-0.05,-0.767,0.903,-272.461,66.223,75.317
-0.052,-0.757,0.861,-281.189,92.224,81.421
-0.085,-0.748,0.786,-277.527,111.206,87.708
-0.115,-0.698,0.705,-260.315,121.826,90.576
-0.127,-0.617,0.646,-237.183,126.404,88.44
-0.135,-0.551,0.607,-210.205,125.244,82.153
-0.113,-0.479,0.575,-178.345,118.469,69.824
-0.077,-0.413,0.608,-153.87,107.117,53.04
-0.047,-0.382,0.683,-140.686,92.468,35.767
0.025,-0.347,0.774,-140.625,78.308,21.606
0.088,-0.306,0.83,-150.33,65.918,10.437
0.125,-0.296,0.851,-164.978,55.237,4.7
0.154,-0.286,0.85,-179.321,47.913,4.578
0.169,-0.275,0.834,-188.721,44.617,7.019
0.164,-0.24,0.799,-192.078,42.542,10.315
0.152,-0.206,0.768,-189.026,39.124,12.817
0.134,-0.178,0.724,-181.519,33.691,12.329
0.124,-0.136,0.693,-172.302,25.757,8.85
0.122,-0.101,0.689,-163.757,13.184,5.798
0.109,-0.092,0.711,-152.466,-3.052,1.16
0.103,-0.064,0.752,-139.404,-17.151,-5.432
0.12,-0.047,0.79,-126.465,-24.658,-14.526
0.172,-0.014,0.82,-118.652,-23.743,-22.034
